name,taxid,reads,relative,contributors,coverage,rank,id,agora_id
Actinomyces sp. oral taxon 414,712122,585,4.88007446409692e-05,1,0.0135712,species,ERR260132,
Streptococcus gordonii,1302,265,2.21063202219775e-05,1,0.0107367,species,ERR260132,Streptococcus_gordonii_str_Challis_substr_CH1
Peptoclostridium difficile,1496,8118,0.000677204179479295,5,0.174018,species,ERR260132,Clostridium_difficile_CD196|Clostridium_difficile_NAP07|Clostridium_difficile_NAP08|Clostridium_difficile_R20291
Streptococcus oligofermentans,195041,97,8.09174740200685e-06,1,0.00403016,species,ERR260132,
Rothia dentocariosa,2047,91,7.59122694415076e-06,1,0.00323181,species,ERR260132,Rothia_dentocariosa_ATCC_17931
Ruminococcus champanellensis,1161942,2274,0.00018969725352746,1,0.0786512,species,ERR260132,Ruminococcus_champanellensis_18P13
Bifidobacterium scardovii,158787,370,3.08654282344591e-05,1,0.0104263,species,ERR260132,Bifidobacterium_scardovii_JCM_12489
Streptococcus dysgalactiae,1334,78,6.50676595212922e-06,1,0.00322712,species,ERR260132,Streptococcus_dysgalactiae_subsp_dysgalactiae_ATCC_27957
Bifidobacterium bifidum,1681,44655,0.00372512350759398,5,1.79888,species,ERR260132,Bifidobacterium_bifidum_BGN4|Bifidobacterium_bifidum_NCIMB_41171|Bifidobacterium_bifidum_PRL2010|Bifidobacterium_bifidum_S17
Lactobacillus ruminis,1623,803,6.69863212764073e-05,1,0.0345811,species,ERR260132,Lactobacillus_ruminis_ATCC_25644
Faecalibacterium prausnitzii,853,934471,0.0779536421288737,2,25.45,species,ERR260132,Faecalibacterium_cf_prausnitzii_KLE1255|Faecalibacterium_prausnitzii_L2_6|Faecalibacterium_prausnitzii_M21_2|Faecalibacterium_prausnitzii_SL3_3
Streptococcus salivarius,1304,5547,0.000462731163287959,4,0.224497,species,ERR260132,Streptococcus_salivarius_JIM8777
Bifidobacterium adolescentis,1680,659819,0.0550421513303584,2,27.3588,species,ERR260132,Bifidobacterium_adolescentis_ATCC_15703
Veillonella parvula,29466,609,5.08028264723936e-05,2,0.0251505,species,ERR260132,Veillonella_parvula_Te3_DSM_2008
Bifidobacterium thermophilum,33905,457,3.81229748733725e-05,1,0.0177484,species,ERR260132,Bifidobacterium_thermophilum_RBL67
Prevotella melaninogenica,28132,374,3.11991085396965e-05,1,0.010506,species,ERR260132,Prevotella_melaninogenica_ATCC_25845
Haemophilus parainfluenzae,729,1161,9.68507085951542e-05,1,0.0495137,species,ERR260132,Haemophilus_parainfluenzae_T3T1
Butyrivibrio proteoclasticus,43305,309,2.57768035795888e-05,1,0.00624324,species,ERR260132,
Streptococcus anginosus,1328,2140,0.000178518963302007,3,0.0941265,species,ERR260132,Streptococcus_anginosus_1_2_62CV
Gardnerella vaginalis,2702,793,6.61521205133138e-05,2,0.0422103,species,ERR260132,
Adlercreutzia equolifaciens,446660,14303,0.00119315735145262,1,0.444701,species,ERR260132,Adlercreutzia_equolifaciens_DSM_19450
Streptococcus sp. I-G2,1156431,44,3.67048335761136e-06,1,0.0019653,species,ERR260132,Streptococcus_sp_I_G2
Streptococcus mitis,28037,204,1.70176955671072e-05,1,0.00952399,species,ERR260132,Streptococcus_mitis_NCTC_12261
Roseburia intestinalis,166486,78806,0.00657400253363456,2,1.66403,species,ERR260132,Roseburia_intestinalis_L1_82
butyrate-producing bacterium SS3/4,245014,22992,0.00191799439450455,1,0.568252,species,ERR260132,
Bifidobacterium breve,1685,4726,0.000394243280637983,2,0.175804,species,ERR260132,Bifidobacterium_breve_HPH0326|Bifidobacterium_breve_UCC2003_NCIMB8807
Lactobacillus gasseri,1596,725,6.0479555324278e-05,2,0.0335178,species,ERR260132,Lactobacillus_gasseri_ATCC_33323
Actinomyces meyeri,52773,68,5.67256518903573e-06,1,0.00295351,species,ERR260132,
Prevotella fusca,589436,88,7.34096671522271e-06,1,0.00240111,species,ERR260132,
Coriobacteriaceae bacterium 68-1-3,1531429,243,2.02710785431718e-05,1,0.0109944,species,ERR260132,
Lactococcus lactis,1358,260,2.16892198404307e-05,1,0.0089789,species,ERR260132,
Alistipes finegoldii,214856,28668,0.00239148674763642,1,0.683259,species,ERR260132,Alistipes_finegoldii_DSM_17242
[Clostridium] cellulosi,29343,172,1.4348253125208e-05,1,0.00686587,species,ERR260132,
[Eubacterium] siraeum,39492,17118,0.00142798486626344,2,0.527206,species,ERR260132,Eubacterium_siraeum_70_3|Eubacterium_siraeum_DSM_15702
Streptococcus sp. I-P16,1156433,114,9.50988869926579e-06,1,0.00501389,species,ERR260132,Streptococcus_sp_I_P16
Megasphaera elsdenii,907,239,1.99373982379344e-05,1,0.00859532,species,ERR260132,Megasphaera_elsdenii_DSM_20460
[Clostridium] saccharolyticum,84030,35003,0.00291995293105614,2,0.738859,species,ERR260132,
Clostridium baratii,1561,445,3.71219339576603e-05,1,0.0118626,species,ERR260132,
Bifidobacterium kashiwanohense,630129,6686,0.000557746630204308,2,0.252773,species,ERR260132,Bifidobacterium_kashiwanohense_DSM_21854
Streptococcus thermophilus,1308,3582,0.000298810713340088,1,0.172744,species,ERR260132,Streptococcus_thermophilus_LMG_18311
Bifidobacterium longum,216816,259331,0.0216334118093798,11,9.54028,species,ERR260132,Bifidobacterium_longum_DJO10A|Bifidobacterium_longum_E18|Bifidobacterium_longum_infantis_157F_NC|Bifidobacterium_longum_infantis_ATCC_15697|Bifidobacterium_longum_longum_ATCC_55813|Bifidobacterium_longum_longum_BBMN68|Bifidobacterium_longum_longum_CCUG_52486|Bifidobacterium_longum_longum_JCM_1217|Bifidobacterium_longum_longum_JDM301|Bifidobacterium_longum_NCC2705
Mageeibacillus indolicus,884684,274,2.28571009087616e-05,1,0.0134748,species,ERR260132,
Barnesiella viscericola,397865,2329,0.000194285357724474,1,0.0673678,species,ERR260132,
Bacteroides fragilis,817,44403,0.00370410164836402,4,0.745352,species,ERR260132,Bacteroides_fragilis_3_1_12|Bacteroides_fragilis_638R|Bacteroides_fragilis_NCTC_9343|Bacteroides_fragilis_YCH46
Rothia mucilaginosa,43675,62,5.17204473117964e-06,1,0.00243663,species,ERR260132,Rothia_mucilaginosa_DY_18
Akkermansia muciniphila,239935,241,2.01042383905531e-05,1,0.00805112,species,ERR260132,Akkermansia_muciniphila_ATCC_BAA_835
[Eubacterium] eligens,39485,8769,0.000731510649156681,1,0.275637,species,ERR260132,Eubacterium_eligens_ATCC_27750
Bacteroides dorei,357276,55044,0.00459177468037181,1,0.855096,species,ERR260132,Bacteroides_dorei_DSM_17855
Faecalitalea cylindroides,39483,10548,0.000879914964911013,1,0.477321,species,ERR260132,Eubacterium_cylindroides_T2_87
Lachnoclostridium phytofermentans,66219,301,2.51094429691141e-05,1,0.00552625,species,ERR260132,
Lactobacillus salivarius,1624,3847,0.000320917033562066,2,0.159289,species,ERR260132,Lactobacillus_salivarius_HO66_ATCC_11741|Lactobacillus_salivarius_salivarius_UCC118
Campylobacter hominis,76517,157,1.30969519805678e-05,1,0.0081477,species,ERR260132,Campylobacter_hominis_ATCC_BAA_381
Streptococcus sanguinis,1305,81,6.75702618105727e-06,1,0.00301829,species,ERR260132,Streptococcus_sanguinis_SK36
Methanobrevibacter smithii,2173,46,3.83732351023005e-06,1,0.0022092,species,ERR260132,Methanobrevibacter_smithii_ATCC_35061
Prevotella dentalis,52227,391,3.26172498369555e-05,1,0.010387,species,ERR260132,
Bacteroides vulgatus,821,89262,0.00744624285152511,1,1.53865,species,ERR260132,Bacteroides_vulgatus_ATCC_8482
Mobiluncus curtisii,2051,301,2.51094429691141e-05,1,0.0124804,species,ERR260132,Mobiluncus_curtisii_ATCC_43063
Parabacteroides distasonis,823,27128,0.00226301983012002,1,0.501809,species,ERR260132,Parabacteroides_distasonis_ATCC_8503
Cryptobacterium curtum,84163,51,4.2544238917768e-06,1,0.00280566,species,ERR260132,Cryptobacterium_curtum_DSM_15641
Campylobacter jejuni,197,354,2.95307070135095e-05,1,0.0192576,species,ERR260132,Campylobacter_jejuni_jejuni_ICDCCJ07004|Campylobacter_jejuni_jejuni_M1|Campylobacter_jejuni_jejuni_NCTC_11168
Eggerthella lenta,84112,1457,0.000121543051182722,1,0.0357004,species,ERR260132,Eggerthella_lenta_DSM_2243
Eggerthella sp. YY7918,502558,368,3.06985880818404e-05,1,0.0104851,species,ERR260132,Eggerthella_sp_YY7918
Odoribacter splanchnicus,28118,26320,0.00219561640846207,1,0.533317,species,ERR260132,Odoribacter_splanchnicus_1651_6_DSM_20712
Bifidobacterium angulatum,1683,3767,0.000314243427457318,1,0.16581,species,ERR260132,Bifidobacterium_angulatum_DSM_20098
Atopobium parvulum,1382,370,3.08654282344591e-05,1,0.0213304,species,ERR260132,Atopobium_parvulum_DSM_20469
Anaerococcus prevotii,33034,190,1.58498144987763e-05,1,0.00846073,species,ERR260132,Anaerococcus_prevotii_DSM_20548
Filifactor alocis,143361,48,4.00416366284875e-06,1,0.00221231,species,ERR260132,Filifactor_alocis_ATCC_35896
Bifidobacterium pseudocatenulatum,28026,2419,0.000201793164592315,1,0.0930484,species,ERR260132,Bifidobacterium_pseudocatenulatum_DSM_20438
Prevotella sp. oral taxon 299,652716,66,5.50572503641704e-06,1,0.00236828,species,ERR260132,
Roseburia hominis,301301,15936,0.00132938233606579,1,0.394837,species,ERR260132,Roseburia_hominis_A2_183
Porphyromonas asaccharolytica,28123,816,6.80707822684288e-05,1,0.0332167,species,ERR260132,Porphyromonas_asaccharolytica_DSM_20707
Olsenella uli,133926,2124,0.000177184242081057,1,0.0921275,species,ERR260132,Olsenella_uli_DSM_7084
Eubacterium rectale,39491,5280537,0.440502799494341,3,134.365,species,ERR260132,Eubacterium_rectale_ATCC_33656|Eubacterium_rectale_M104_1
Bacteroides thetaiotaomicron,818,33797,0.00281934831902707,1,0.47795,species,ERR260132,Bacteroides_thetaiotaomicron_VPI_5482
[Eubacterium] cellulosolvens,29322,26126,0.00217943291365805,1,0.686987,species,ERR260132,Eubacterium_cellulosolvens_6
Anaerostipes hadrus,649756,83210,0.00694138454970093,1,2.37759,species,ERR260132,Anaerostipes_hadrus_DSM_3319
Ethanoligenens harbinense,253239,286,2.38581418244738e-05,1,0.00846048,species,ERR260132,
[Ruminococcus] torques,33039,138301,0.0115370799736593,1,3.68341,species,ERR260132,Ruminococcus_torques_ATCC_27756|Ruminococcus_torques_L2_14
Sneathia sp. Sn35,1069640,164,1.36808925147332e-05,1,0.0109726,species,ERR260132,
Chryseobacterium gallinarum,1324352,225,1.87695171696035e-05,1,0.00432166,species,ERR260132,
Ruminococcus sp. SR1/5,657323,170805,0.0142485661340184,1,4.28746,species,ERR260132,Ruminococcus_sp_SR1_5
Butyrivibrio fibrisolvens,831,283,2.36078815955458e-05,1,0.00795954,species,ERR260132,Butyrivibrio_fibrisolvens_16_4
Bacteroides salanitronis,376805,10967,0.000914867976884631,1,0.226533,species,ERR260132,
Oscillibacter valericigenes,351091,1943,0.000162085208269065,1,0.0386806,species,ERR260132,
Bacteroides helcogenes,290053,4147,0.00034594305645487,1,0.092296,species,ERR260132,
Ruminococcus albus,1264,220,1.83524167880568e-05,1,0.00436845,species,ERR260132,Ruminococcus_albus_7
Coriobacterium glomerans,33871,1383,0.00011536996553583,1,0.0581784,species,ERR260132,
Olsenella sp. oral taxon 807,712411,1426,0.000118957028817132,1,0.0393497,species,ERR260132,
Finegoldia magna,1260,147,1.22627512174743e-05,2,0.00670398,species,ERR260132,Finegoldia_magna_ATCC_29328
Alistipes shahii,328814,38635,0.0032229346482117,1,0.913693,species,ERR260132,Alistipes_shahii_WAL_8301
Coprococcus catus,116085,210987,0.0176005516402806,1,5.33052,species,ERR260132,Coprococcus_catus_GD_7
Coprococcus sp. ART55/1,751585,3229,0.000269363426402888,1,0.0920206,species,ERR260132,
Parascardovia denticolens,78258,559,4.66318226569261e-05,1,0.0263113,species,ERR260132,
Peptoniphilus sp. 1-1,875453,259,2.16057997641214e-05,1,0.0143903,species,ERR260132,
Clostridium perfringens,1502,2334,0.000194702458106021,1,0.0598882,species,ERR260132,Clostridium_perfringens_ATCC_13124
Ruminococcus bromii,40518,943483,0.0787054238565735,1,37.3352,species,ERR260132,Ruminococcus_bromii_L2_63
[Eubacterium] sulci,143393,255,2.1272119458884e-05,1,0.0130478,species,ERR260132,Eubacterium_sulci_ATCC_35585
Eubacterium limosum,1736,368,3.06985880818404e-05,1,0.00758727,species,ERR260132,Eubacterium_limosum_KIST612
Streptococcus oralis,1303,76,6.33992579951052e-06,1,0.00345333,species,ERR260132,Streptococcus_oralis_Uo5
,0,2336426,0.194904835211147,0,0,species,ERR260132,
Selenomonas ruminantium,971,297,1.30077517879199e-05,1,0.00785013,species,ERR260134,Selenomonas_ruminantium_AC2024
Streptococcus oralis,1303,6458,0.00028284195638514,1,0.316522,species,ERR260134,Streptococcus_oralis_Uo5
Prevotella dentalis,52227,286,1.25259832031821e-05,1,0.00819523,species,ERR260134,
Peptoniphilus sp. 1-1,875453,449,1.96649176861145e-05,1,0.026909,species,ERR260134,
Aerococcus urinae,1376,84,3.6789601016339e-06,1,0.00387511,species,ERR260134,
Parascardovia denticolens,78258,4536,0.000198663845488231,1,0.230296,species,ERR260134,
Lactobacillus delbrueckii,1584,1228,5.37828929143623e-05,1,0.0552949,species,ERR260134,Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_11842|Lactobacillus_delbrueckii_subsp_bulgaricus_ATCC_BAA_365
Leuconostoc kimchii,136609,181,7.92728307613972e-06,1,0.00826701,species,ERR260134,
Coprococcus sp. ART55/1,751585,11351,0.000497141382305314,1,0.348925,species,ERR260134,
Aggregatibacter aphrophilus,732,137,6.00020873718862e-06,1,0.00544725,species,ERR260134,Aggregatibacter_aphrophilus_NJ8700
Coprococcus catus,116085,263926,0.0115592050450456,1,7.19246,species,ERR260134,Coprococcus_catus_GD_7
Faecalitalea cylindroides,39483,140610,0.00615831642727075,1,6.86338,species,ERR260134,Eubacterium_cylindroides_T2_87
Lactobacillus sanfranciscensis,1625,225,9.85435741509081e-06,1,0.0157,species,ERR260134,
Selenomonas sp. oral taxon 478,712538,180,7.88348593207264e-06,1,0.00756523,species,ERR260134,
Olsenella sp. oral taxon 807,712411,1426,6.24547274396422e-05,1,0.0424446,species,ERR260134,
Actinomyces sp. oral taxon 414,712122,1745,7.64260163970376e-05,1,0.0436657,species,ERR260134,
Pediococcus claussenii,187452,297,1.30077517879199e-05,1,0.0144081,species,ERR260134,
Coriobacterium glomerans,33871,7535,0.000330011480545374,1,0.341904,species,ERR260134,
Ruminococcus albus,1264,643,2.81615636351262e-05,1,0.013772,species,ERR260134,Ruminococcus_albus_7
Bacteroides helcogenes,290053,4283,0.000187583168039262,1,0.10282,species,ERR260134,
Oscillibacter valericigenes,351091,5470,0.000239570378046874,1,0.11746,species,ERR260134,
Ethanoligenens harbinense,253239,951,4.16510840077838e-05,1,0.0303453,species,ERR260134,
Blautia obeum,40520,277717,0.0121632114588745,1,7.09538,species,ERR260134,Blautia_obeum_ATCC_29174|Ruminococcus_obeum_A2_162
[Ruminococcus] torques,33039,1002049,0.0438868844152637,1,28.7869,species,ERR260134,Ruminococcus_torques_ATCC_27756|Ruminococcus_torques_L2_14
Anaerostipes hadrus,649756,268066,0.0117405252214833,1,8.26199,species,ERR260134,Anaerostipes_hadrus_DSM_3319
Thermaerobacter marianensis,73919,144,6.30678874565812e-06,1,0.00485957,species,ERR260134,
Cellulosilyticum lentocellum,29360,2568,0.000112471065964236,1,0.0522944,species,ERR260134,Cellulosilyticum_lentocellum_DSM_5427
Citrobacter rodentium,67825,598,2.6190692152108e-05,1,0.0105446,species,ERR260134,
Olsenella uli,133926,5998,0.000262695270114287,1,0.280622,species,ERR260134,Olsenella_uli_DSM_7084
Acidaminococcus fermentans,905,3736,0.000163626130234574,1,0.153945,species,ERR260134,Acidaminococcus_fermentans_DSM_20731
Acidaminococcus intestini,187327,14460,0.000633306703209836,1,0.557995,species,ERR260134,Acidaminococcus_intestini_RyC_MR95
Bifidobacterium catenulatum,1686,5576,0.000244212875317984,1,0.257413,species,ERR260134,Bifidobacterium_catenulatum_DSM_16992
Prevotella melaninogenica,28132,781,3.42055695163819e-05,1,0.0236645,species,ERR260134,Prevotella_melaninogenica_ATCC_25845
Mobiluncus curtisii,2051,472,2.06722519996572e-05,1,0.0211099,species,ERR260134,Mobiluncus_curtisii_ATCC_43063
Bifidobacterium pseudocatenulatum,28026,3936,0.000172385559047989,1,0.163309,species,ERR260134,Bifidobacterium_pseudocatenulatum_DSM_20438
Selenomonas sputigena,69823,128,5.60603444058499e-06,1,0.00478437,species,ERR260134,
Actinomyces meyeri,52773,738,3.23222923214978e-05,1,0.0345754,species,ERR260134,
Barnesiella viscericola,397865,549,2.40446320928216e-05,1,0.0171292,species,ERR260134,
Mageeibacillus indolicus,884684,524,2.29497034911448e-05,1,0.0277962,species,ERR260134,
Atopobium parvulum,1382,601,2.63220835843092e-05,1,0.0373726,species,ERR260134,Atopobium_parvulum_DSM_20469
Odoribacter splanchnicus,28118,34212,0.00149838789282261,1,0.747754,species,ERR260134,Odoribacter_splanchnicus_1651_6_DSM_20712
Bifidobacterium angulatum,1683,9857,0.000431708449069111,1,0.467994,species,ERR260134,Bifidobacterium_angulatum_DSM_20098
Butyrivibrio proteoclasticus,43305,378,1.65553204573526e-05,1,0.00823806,species,ERR260134,
Heliobacterium modesticaldum,35701,180,7.88348593207264e-06,1,0.00561877,species,ERR260134,
Slackia heliotrinireducens,84110,2160,9.46018311848717e-05,1,0.0655158,species,ERR260134,
Cryptobacterium curtum,84163,104,4.55490298297531e-06,1,0.00617133,species,ERR260134,Cryptobacterium_curtum_DSM_15641
Bacteroides vulgatus,821,4673,0.000204664054225419,1,0.0868858,species,ERR260134,Bacteroides_vulgatus_ATCC_8482
Bacteroides salanitronis,376805,920,4.02933725417046e-05,1,0.0204981,species,ERR260134,
Streptococcus suis,1307,4538,0.000198751439776365,1,0.213759,species,ERR260134,
Streptococcus equi,1336,89,3.89794582196925e-06,1,0.0039742,species,ERR260134,
Streptococcus sanguinis,1305,4677,0.000204839242801688,1,0.187986,species,ERR260134,Streptococcus_sanguinis_SK36
Bacteroides xylanisolvens,371601,15844,0.000693921950598661,1,0.254516,species,ERR260134,Bacteroides_ovatus_SD_CC_2a|Bacteroides_xylanisolvens_SD_CC_1b|Bacteroides_xylanisolvens_XB1A
Streptococcus pasteurianus,197614,456,1.9971497694584e-05,1,0.0208449,species,ERR260134,
Bacteroides dorei,357276,50835,0.00222642781864952,1,0.851822,species,ERR260134,Bacteroides_dorei_DSM_17855
Filifactor alocis,143361,309,1.35333175167247e-05,1,0.0153619,species,ERR260134,Filifactor_alocis_ATCC_35896
Streptococcus pseudopneumoniae,257758,1094,4.79140756093749e-05,1,0.0478367,species,ERR260134,Streptococcus_pseudopneumoniae_IS7493
Lactobacillus brevis,1580,321,1.40588832455295e-05,2,0.011604,species,ERR260134,Lactobacillus_brevis_ATCC_367|Lactobacillus_brevis_subsp_gravesensis_ATCC_27305
Porphyromonas asaccharolytica,28123,512,2.242413776234e-05,1,0.0224811,species,ERR260134,Porphyromonas_asaccharolytica_DSM_20707
Clostridium saccharobutylicum,169679,481,2.10664262962608e-05,1,0.00904027,species,ERR260134,
Rothia dentocariosa,2047,3133,0.000137216452362131,1,0.120018,species,ERR260134,Rothia_dentocariosa_ATCC_17931
Weissella koreensis,165096,362,1.58545661522794e-05,1,0.0241085,species,ERR260134,
Peptoclostridium difficile,1496,18930,0.00082907993718964,7,0.434888,species,ERR260134,Clostridium_difficile_CD196|Clostridium_difficile_NAP07|Clostridium_difficile_NAP08|Clostridium_difficile_R20291
Actinomyces odontolyticus,1660,35573,0.00155799580589789,1,1.4265,species,ERR260134,Actinomyces_odontolyticus_ATCC_17982
Bacillus cereus,1396,1316,5.76370415922644e-05,1,0.0226155,species,ERR260134,Bacillus_cereus_AH187_F4810_72|Bacillus_cereus_G9842
Klebsiella pneumoniae,573,1926,8.43532994731773e-05,1,0.0301502,species,ERR260134,Hafnia_alvei_BIDMC_31|Klebsiella_pneumoniae_pneumoniae_MGH78578
Streptococcus pyogenes,1314,2229,9.76238341254996e-05,2,0.113566,species,ERR260134,
Lactobacillus ruminis,1623,386,1.69056976098891e-05,1,0.0179304,species,ERR260134,Lactobacillus_ruminis_ATCC_25644
Campylobacter ureolyticus,827,69,3.02200294062785e-06,1,0.00403438,species,ERR260134,Bacteroides_ureolyticus_DSM_20703
Alistipes shahii,328814,16214,0.000710126893903477,1,0.41361,species,ERR260134,Alistipes_shahii_WAL_8301
Finegoldia magna,1260,35244,0.00154358654549982,2,1.73373,species,ERR260134,Finegoldia_magna_ATCC_29328
Fusobacterium nucleatum,851,1405,6.15349874142337e-05,2,0.0571875,species,ERR260134,Fusobacterium_nucleatum_subsp_animalis_3_1_33|Fusobacterium_nucleatum_subsp_animalis_7_1|Fusobacterium_nucleatum_subsp_animalis_D11|Fusobacterium_nucleatum_subsp_vincentii_3_1_27|Fusobacterium_nucleatum_subsp_vincentii_3_1_36A2|Fusobacterium_nucleatum_subsp_vincentii_4_1_13|Fusobacterium_sp_4_8
Parabacteroides distasonis,823,29787,0.00130458553032582,1,0.594331,species,ERR260134,Parabacteroides_distasonis_ATCC_8503
Bacteroides thetaiotaomicron,818,75781,0.00331899137454665,1,1.15597,species,ERR260134,Bacteroides_thetaiotaomicron_VPI_5482
[Clostridium] sordellii,1505,2082,9.11856539476402e-05,1,0.0560985,species,ERR260134,Clostridium_sordellii_ATCC_9714
Alistipes finegoldii,214856,31209,0.0013668650691892,1,0.802323,species,ERR260134,Alistipes_finegoldii_DSM_17242
Desulfovibrio desulfuricans,876,1058,4.63373784229603e-05,2,0.0301746,species,ERR260134,Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642
Campylobacter jejuni,197,2480,0.000108616917286334,1,0.145523,species,ERR260134,Campylobacter_jejuni_jejuni_ICDCCJ07004|Campylobacter_jejuni_jejuni_M1|Campylobacter_jejuni_jejuni_NCTC_11168
Bifidobacterium pseudolongum,1694,91,3.98554011010339e-06,1,0.00428874,species,ERR260134,Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099
Prevotella denticola,28129,248,1.08616917286334e-05,1,0.00810461,species,ERR260134,Prevotella_denticola_DSM20614|Prevotella_denticola_F0289
Streptococcus dysgalactiae,1334,1124,4.9227989931387e-05,2,0.05027,species,ERR260134,Streptococcus_dysgalactiae_subsp_dysgalactiae_ATCC_27957
Citrobacter freundii,546,778,3.40741780841806e-05,2,0.0137536,species,ERR260134,Citrobacter_freundii_ATCC_8090|Citrobacter_freundii_UCI_31
Lactococcus piscium,1364,218,9.54777740662131e-06,1,0.00836087,species,ERR260134,
Haemophilus influenzae,727,719,3.14901465842235e-05,4,0.0355984,species,ERR260134,
Leuconostoc citreum,33964,560,2.45264006775593e-05,1,0.0283445,species,ERR260134,
Clostridium sp. SY8519,1042156,2847,0.000124690469158949,1,0.0963813,species,ERR260134,Clostridium_sp_SY8519
Escherichia coli,562,59757,0.00261718593801592,3,1.12308,species,ERR260134,Escherichia_coli_O157_H7_str_Sakai|Escherichia_coli_SE11|Escherichia_coli_str_K_12_substr_MG1655|Escherichia_coli_UTI89_UPEC
Enterococcus faecium,1352,8056,0.000352829792604318,3,0.257874,species,ERR260134,Enterococcus_faecium_TX1330
Lactobacillus casei,1582,232,1.01609374235603e-05,1,0.0075422,species,ERR260134,Lactobacillus_casei_casei_BL23
Streptococcus sp. HSISM1,1316408,247882,0.0108565236656335,1,10.1931,species,ERR260134,
Staphylococcus epidermidis,1282,701,3.07017979910162e-05,1,0.0259074,species,ERR260134,Staphylococcus_epidermidis_ATCC_12228
Streptococcus agalactiae,1311,10369,0.000454132586831451,5,0.463768,species,ERR260134,Streptococcus_agalactiae_A909
Faecalibacterium prausnitzii,853,452341,0.0198112439444426,2,13.2883,species,ERR260134,Faecalibacterium_cf_prausnitzii_KLE1255|Faecalibacterium_prausnitzii_L2_6|Faecalibacterium_prausnitzii_M21_2|Faecalibacterium_prausnitzii_SL3_3
