study_accession,sample_accession,secondary_sample_accession,experiment_accession,run_accession,tax_id,scientific_name,instrument_model,library_layout,fastq_ftp,fastq_galaxy,submitted_ftp,submitted_galaxy,sra_ftp,sra_galaxy,cram_index_ftp,cram_index_galaxy
PRJEB2054,SAMEA728745,ERS006560,ERX004056,ERR011097,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011097/ERR011097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011097/ERR011097_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011097/ERR011097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011097/ERR011097_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0005_081109_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0005_081109_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0005_081109_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0005_081109_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011097/col/X/idx0,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011097/col/X/idx0,,
PRJEB2054,SAMEA728745,ERS006560,ERX004057,ERR011098,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011098/ERR011098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011098/ERR011098_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011098/ERR011098_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011098/ERR011098_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0005_081120.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0005_081120.clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0005_081120.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0005_081120.clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011098/col/READ/idx2,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011098/col/READ/idx2,,
PRJEB2054,SAMEA728680,ERS006497,ERX004058,ERR011099,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011099/ERR011099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011099/ERR011099_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011099/ERR011099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011099/ERR011099_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_081109_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_081109_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_081109_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_081109_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011099/col/X/idx,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011099/col/X/idx,,
PRJEB2054,SAMEA728680,ERS006497,ERX004059,ERR011100,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011100/ERR011100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011100/ERR011100_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011100/ERR011100_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011100/ERR011100_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_081120.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_081120.clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_081120.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_081120.clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011100/col/READ_LEN/idx2,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011100/col/READ_LEN/idx2,,
PRJEB2054,SAMEA728680,ERS006497,ERX004060,ERR011101,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011101/ERR011101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011101/ERR011101_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011101/ERR011101_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011101/ERR011101_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane2.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane2.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane2.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane2.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011101/col/SPOT_NAME/idx1,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011101/col/SPOT_NAME/idx1,,
PRJEB2054,SAMEA728680,ERS006497,ERX004061,ERR011102,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011102/ERR011102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011102/ERR011102_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011102/ERR011102_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011102/ERR011102_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane6.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane6.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane6.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane6.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011102/col/READ_LEN/idx,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011102/col/READ_LEN/idx,,
PRJEB2054,SAMEA728680,ERS006497,ERX004062,ERR011103,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011103/ERR011103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011103/ERR011103_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011103/ERR011103_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011103/ERR011103_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane7.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane7.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane7.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane7.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011103/col/READ_START/data,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011103/col/READ_START/data,,
PRJEB2054,SAMEA728680,ERS006497,ERX004063,ERR011104,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011104/ERR011104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011104/ERR011104_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011104/ERR011104_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011104/ERR011104_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane8.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane8.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane8.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0006_lane8.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011104/col/READ_START/idx,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011104/col/READ_START/idx,,
PRJEB2054,SAMEA728938,ERS006601,ERX004064,ERR011105,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011105/ERR011105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011105/ERR011105_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011105/ERR011105_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011105/ERR011105_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0007_081109_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0007_081109_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0007_081109_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0007_081109_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011105/col/READ_START/idx0,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011105/col/READ_START/idx0,,
PRJEB2054,SAMEA728938,ERS006601,ERX004065,ERR011106,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011106/ERR011106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011106/ERR011106_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011106/ERR011106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011106/ERR011106_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0007_081123_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0007_081123_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0007_081123_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0007_081123_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011106/col/READ/md/cur,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011106/col/READ/md/cur,,
PRJEB2054,SAMEA728663,ERS006498,ERX004066,ERR011107,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011107/ERR011107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011107/ERR011107_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011107/ERR011107_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011107/ERR011107_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0008_081113_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0008_081113_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0008_081113_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0008_081113_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011107/col/READ_LEN/idx,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011107/col/READ_LEN/idx,,
PRJEB2054,SAMEA728663,ERS006498,ERX004067,ERR011108,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011108/ERR011108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011108/ERR011108_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011108/ERR011108_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011108/ERR011108_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0008_081123_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0008_081123_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0008_081123_clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0008_081123_clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011108/col/READ/idx,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011108/col/READ/idx,,
PRJEB2054,SAMEA728690,ERS006491,ERX004068,ERR011109,408170,human gut metagenome,Illumina Genome Analyzer II,PAIRED,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011109/ERR011109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011109/ERR011109_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011109/ERR011109_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR011/ERR011109/ERR011109_2.fastq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0009_081203.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0009_081203.clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0009_081203.clean.1.fq.gz;ftp.sra.ebi.ac.uk/vol1/ERA000/ERA000116/fastq/MH0009_081203.clean.2.fq.gz,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011109/col/ALTREAD/idx2,ftp.sra.ebi.ac.uk/vol1/err/ERR011/ERR011109/col/ALTREAD/idx2,,
